BBBBgBBb NNNNNNNt NNNnnNNNtNNnNNTN  NNTN | b7fa3ce5  N | N  correct    11
BBBBgBBb NNNNNNNt NNNnnNNNtNNnNNTN  NTNN | b7fa3cf3  N | N  correct    11
BBBBgBBb NNNNNNNt NNNnnNNNtNNnNNTN  TNNN | b7fa3d23  N | N  correct    11
BBBBgBBb NNNNNNNt NNNnnNNNtNNNNNTN  NNNN | b7fa3d30  N | N  correct    11
BBBBgBBb NNNNNNNt NNNnnNNNtNNNNNTN  NNNN | b7fa3d39  N | N  correct    11
BBBBgBBb NNNNNNNt NNNnnNNNtNNNNNTN  NNNN | b7fa3d46  N | N  correct    11
BBBBgBBb NNNNNNNt NNNnnNNNtNNNNNTN  NNNN | b7fa3d56  T | N  incorrect  12
BBBBgBBb NNNNNNnt NNNnnNnNtNNNNNTN  NNNT | b7fa3d46  N | N  correct    12
BBBBgBBb NNNNNNNt NNNnnNnNtNNNNNTN  NNTN | b7fa3d56  T | N  incorrect  13
BBBBgBBb NNNNNNnt NNNntNnNtNNNNNTN  NTNT | b7fa3d46  N | N  correct    13
BBBBgBBb NNNNNNNt NNNNtNnNtNNNNNTN  TNTN | b7fa3d56  T | N  incorrect  14
BBBBgBBb NNNNNNnt NNNNtNnNtNNNnNTN  NTNT | b7fa3d46  N | N  correct    14
BBBBgBBb NNNNNNNt NNNNtNnNtNNNnNTN  TNTN | b7fa3d56  T | N  incorrect  15
BBBBgBBb NNNNNNnt NNNNtNnNtNNNtNTN  NTNT | b7fa3d46  N | N  correct    15
BBBBgBBb NNNNNNNt NNNNtNnNtNNNtNTN  TNTN | b7fa3d56  T | N  incorrect  16
BBBBgBbb NNNNNNnt NNNNtNnNtNNNTNTN  NTNT | b7fa3d46  N | N  correct    16
BBBBgBbb NNNNNNNt NNNNtNnNtNNNTNTN  TNTN | b7fa3d56  T | N  incorrect  17
BBBBgBgb NNNNNNnt NNNNtNnNtNNNTNTN  NTNT | b7fa3d46  N | N  correct    17
BBBBgBgb NNNNNNNt NNNNtNnNtNNNTNTN  TNTN | b7fa3d56  T | T  correct    17
BBBBgBGb NNNNNNnt NNNNtNnNtNNNTNTN  NTNT | b7fa3d46  N | N  correct    17
BBBBgBGb NNNNNNNt NNNNtNnNtNNNTNTN  TNTN | b7fa3d56  T | T  correct    17
BBBBgBGb NNNNNNnt NNNNtNnNtNNNTNTN  NTNT | b7fa3d46  N | N  correct    17
BBBBgBGb NNNNNNNt NNNNtNnNtNNNTNTN  TNTN | b7fa3d56  T | T  correct    17
BBBBgBGb NNNNNNnt NNNNtNnNtNNNTNTN  NTNT | b7fa3d46  N | N  correct    17
BBBBgBGb NNNNNNNt NNNNtNnNtNNNTNTN  TNTN | b7fa3d56  T | T  correct    17
BBBBgBGb NNNNNNnt NNNNtNnNtNNNTNTN  NTNT | b7fa3d46  N | N  correct    17
BBBBgBGb NNNNNNNt NNNNtNnNtNNNTNTN  TNTN | b7fa3d56  N | T  incorrect  18
BBBBgBgb NNNNNNNt NNNNtNnNtNNNtNTN  NTNN | b7fa3d60  T | N  incorrect  19
bBBBgBgb nNNNNNNt NNNNTNnNtNNNtNTN  TNNT | b7fa3da3  T | N  incorrect  20
bBBBgBgb nNNnNNNt NNNNTNnNtNnNtNTN  NNTT | b7fa3d81  N | N  correct    20
bBBBgBgb nNNnNNNt NNNNTNnNtNnNtNTN  NTTN | b7fa3d95  N | N  correct    20
bBBBgBgb nNNnNNNt NNNNTNnNtNnNtNTN  TTNN | b7fa3da3  T | N  incorrect  21
bBBBgBgb nNNtNNNt NNNNTNnNtNnNtNTn  TNNT | b7fa3d81  N | N  correct    21
bBBBgBgb nNNtNNNt NNNNTNnNnNnNtNTn  NNTN | b7fa3d95  N | N  correct    21
bBBBgBgb nNNtNNNt NNNNTNnNnNnNtNTn  NTNN | b7fa3da3  T | T  correct    21
bBBBgBgb nNNTNNNt NNNNTNnnnNnNtNTn  TNNT | b7fa3d81  N | N  correct    21
bBBBgBgb nNNTNNNt NNNNTNnnNNnNtNTn  NNTN | b7fa3d95  N | N  correct    21
bBBBgBgb nNNTNNNt NNNNTNnNNNnNtNTn  NTNN | b7fa3da3  T | T  correct    21
bBBBgBgb nNNTNNNt NNNNTNnnNNnNtNTn  TNNT | b7fa3d81  N | N  correct    21
bBBBgBgb nNNTNNNt NNNNTNnnNNnNtNTn  NNTN | b7fa3d95  N | N  correct    21
bBBBgBgb nNNTNNNt NNNNTNnNNNnNtNTn  NTNN | b7fa3da3  T | T  correct    21
bBBBgBgb nNNTNNNt NNNNTNnnNNnNtNTn  TNNT | b7fa3d81  N | N  correct    21
bBBBgBgb nNNTNNNt NNNNTNnnNNnNtNTn  NNTN | b7fa3d95  N | N  correct    21
bBBBgBgb nNNTNNNt NNNNTNnNNNnNtNTn  NTNN | b7fa3da3  T | T  correct    21
bBBBgBgb nNNTNNNt NNNNTNnnNNnNtNTn  TNNT | b7fa3d81  N | N  correct    21
bBBBgBgb nNNTNNNt NNNNTNnnNNnNtNTn  NNTN | b7fa3d95  N | N  correct    21
bBBBgBgb nNNTNNNt NNNNTNnNNNnNtNTn  NTNN | b7fa3da3  N | T  incorrect  22
